Age,Gender,Location,School_Grade,Daily_Usage_Hours,Sleep_Hours,Academic_Performance,Social_Interactions,Exercise_Hours,Anxiety_Level,Depression_Level,Self_Esteem,Parental_Control,Screen_Time_Before_Bed,Phone_Checks_Per_Day,Apps_Used_Daily,Time_on_Social_Media,Time_on_Gaming,Time_on_Education,Phone_Usage_Purpose,Family_Communication,Weekend_Usage_Hours,Addiction_Level,Low_Sleep_Flag,Extreme_Usage_Flag,Daily_Usage_Hours_Outlier_Flag,Weekend_Usage_Hours_Outlier_Flag,Total_App_Time,Weekend_vs_Weekday_Diff,Time_on_Social_Media_Ratio,Time_on_Gaming_Ratio,Time_on_Education_Ratio
13,Female,Hansonfort,9,4.0,6.1,78,5,0.1,10,3,8,0,1.4,86,19,2.22,1.05,0.74,Browsing,4,8.7,10.0,0,0,0,0,4.010000000000001,4.699999999999999,0.555,0.2625,0.185
17,Female,Theodorefort,7,5.5,6.5,70,5,0.0,3,7,3,0,0.9,96,9,0.88,3.19,1.43,Browsing,2,5.3,10.0,0,0,0,0,5.5,-0.20000000000000018,0.16,0.58,0.26
13,Other,Lindseystad,11,5.8,5.5,93,8,0.8,2,3,10,0,0.5,137,8,0.3,1.5,0.4,Education,6,5.7,9.2,0,0,0,0,2.2,-0.09999999999999964,0.05172413793103448,0.25862068965517243,0.06896551724137931
18,Female,West Anthony,12,3.1,3.9,78,8,1.6,9,10,3,0,1.4,128,7,1.75,0.9,0.45,Social Media,8,3.0,9.8,1,0,0,0,3.1,-0.10000000000000009,0.564516129032258,0.2903225806451613,0.14516129032258066
14,Other,Port Lindsaystad,9,2.5,6.7,56,4,1.1,1,5,1,0,1.0,96,20,1.41,0.49,0.6,Gaming,10,3.7,8.6,0,0,0,0,2.5,1.2000000000000002,0.564,0.196,0.24
13,Female,East Angelachester,10,3.9,6.3,89,3,0.7,7,1,3,0,1.1,135,8,2.85,,1.05,Social Media,7,6.0,8.8,0,0,0,0,3.9000000000000004,2.1,0.7307692307692308,,0.2692307692307693
16,Male,North Jeffrey,11,6.3,6.7,89,3,0.9,6,7,9,0,0.8,129,9,1.8,2.7,1.0,Education,7,7.8,10.0,0,0,0,0,5.5,1.5,0.28571428571428575,0.4285714285714286,0.15873015873015872
13,Other,Jenniferport,10,5.1,6.1,70,2,2.2,5,6,8,0,1.0,34,7,2.3,1.6,0.5,Browsing,9,8.0,8.0,0,0,0,0,4.4,2.9000000000000004,0.45098039215686275,0.3137254901960785,0.09803921568627452
13,Male,Leebury,8,3.0,9.1,79,0,1.8,1,7,6,0,0.9,70,13,1.31,1.06,0.63,Education,10,9.1,7.3,0,0,0,0,3.0,6.1,0.4366666666666667,0.35333333333333333,0.21
18,Other,Prestonview,11,3.9,5.8,89,8,1.1,9,1,9,0,0.9,121,13,2.57,0.38,0.95,Other,9,2.9,9.1,0,0,0,0,3.8999999999999995,-1.0,0.658974358974359,0.09743589743589744,0.24358974358974358
18,Female,Cherylburgh,12,4.9,7.0,74,5,0.6,4,3,2,0,0.6,84,20,3.1,0.6,0.8,Other,6,3.5,10.0,0,0,0,0,4.5,-1.4000000000000004,0.6326530612244897,0.12244897959183672,0.16326530612244897
14,Male,Lake Mary,11,1.6,5.9,70,10,1.5,10,8,8,0,0.9,147,18,0.54,0.77,0.29,Browsing,7,3.2,9.8,0,0,0,0,1.6,1.6,0.3375,0.48125,0.18124999999999997
19,Female,South Heatherton,10,7.4,5.8,70,4,0.6,4,9,3,0,1.1,59,19,4.3,0.4,0.4,Gaming,8,9.1,10.0,0,0,0,0,5.1000000000000005,1.6999999999999993,0.581081081081081,0.05405405405405406,0.05405405405405406
